Development Name,Borough,Account Name,Location,Meter AMR,TDS #,EDP,RC Code,Funding Source,AMP #,Vendor Name,UMIS BILL ID,Revenue Month,Service Start Date,Service End Date,# days,Meter Number,Estimated,Current Charges,Rate Class,Bill Analyzed,Consumption (Therms),ES Commodity,Underlying Utility
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY II BLD 07,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8664879,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,152644,N,276.07,T1A TRAN RES N-Ht,Yes,371.88,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 03,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8664879,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,379350,N,0,T1A TRAN RES N-Ht,Yes,0,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 04,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8664879,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,463027,N,93.82,T1A TRAN RES N-Ht,Yes,126.38,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 04,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8664879,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,897493,N,0,T1A TRAN RES N-Ht,Yes,0,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 05,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8664879,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,898438,N,72.28,T1A TRAN RES N-Ht,Yes,97.37,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 05,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8664879,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,4632187,N,264.54,T1A TRAN RES N-Ht,Yes,356.34,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 02,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8664879,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,5017528,N,151.5,T1A TRAN RES N-Ht,Yes,204.07,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 02,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8664879,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,5062736,N,213.79,T1A TRAN RES N-Ht,Yes,287.98,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 06,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8664879,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,5122117,N,79.98,T1A TRAN RES N-Ht,Yes,107.73,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 06,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8664879,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,5122121,N,253.01,T1A TRAN RES N-Ht,Yes,340.81,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 03,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8664879,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,5739544,N,380.66,T1A TRAN RES N-Ht,Yes,512.76,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 01,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8664879,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,6130391,N,0,T1A TRAN RES N-Ht,Yes,0,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 01,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8664879,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,6591591,N,339.9,T1A TRAN RES N-Ht,Yes,457.86,UTILITY GAS,NatGrid NYC
ALBANY II,BROOKLYN,ALBANY/ALBANY II,ALBANY II BLD 07,AMR,85,524,K008500,FEDERAL,NY005010310P,National Grid NYC,8664879,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,152643,N,93.82,T1A TRAN RES N-Ht,Yes,126.38,UTILITY GAS,NatGrid NYC
ALBANY II,BROOKLYN,ALBANY/ALBANY II,ALBANY II BLD 08,AMR,85,524,K008500,FEDERAL,NY005010310P,National Grid NYC,8664879,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,386392,N,402.96,T1A TRAN RES N-Ht,Yes,542.8,UTILITY GAS,NatGrid NYC
ALBANY II,BROOKLYN,ALBANY/ALBANY II,ALBANY II BLD 08,AMR,85,524,K008500,FEDERAL,NY005010310P,National Grid NYC,8664879,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,482211,N,69.21,T1A TRAN RES N-Ht,Yes,93.23,UTILITY GAS,NatGrid NYC
ALBANY II,BROOKLYN,ALBANY/ALBANY II,ALBANY II BLD 09,AMR,85,524,K008500,FEDERAL,NY005010310P,National Grid NYC,8664879,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,904846,N,279.15,T1A TRAN RES N-Ht,Yes,376.03,UTILITY GAS,NatGrid NYC
ALBANY II,BROOKLYN,ALBANY/ALBANY II,ALBANY II BLD 09,AMR,85,524,K008500,FEDERAL,NY005010310P,National Grid NYC,8664879,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,924103,N,72.28,T1A TRAN RES N-Ht,Yes,97.37,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY II BLD 07,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8764458,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,152644,N,296.32,T1A TRAN RES N-Ht,Yes,397.56,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 03,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8764458,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,379350,N,0,T1A TRAN RES N-Ht,Yes,0,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 04,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8764458,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,463027,N,146.62,T1A TRAN RES N-Ht,Yes,196.71,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 04,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8764458,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,897493,N,0,T1A TRAN RES N-Ht,Yes,0,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 05,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8764458,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,898438,N,81.79,T1A TRAN RES N-Ht,Yes,109.74,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 05,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8764458,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,4632187,N,287.05,T1A TRAN RES N-Ht,Yes,385.13,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 02,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8764458,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,5017528,N,171.31,T1A TRAN RES N-Ht,Yes,229.84,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 02,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8764458,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,5062736,N,214.52,T1A TRAN RES N-Ht,Yes,287.81,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 06,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8764458,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,5122117,N,98.77,T1A TRAN RES N-Ht,Yes,132.52,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 06,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8764458,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,5122121,N,303.26,T1A TRAN RES N-Ht,Yes,406.87,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 03,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8764458,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,5739544,N,372.71,T1A TRAN RES N-Ht,Yes,500.05,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 01,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8764458,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,6130391,N,0,T1A TRAN RES N-Ht,Yes,0,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 01,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8764458,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,6591591,N,384.28,T1A TRAN RES N-Ht,Yes,515.58,UTILITY GAS,NatGrid NYC
ALBANY II,BROOKLYN,ALBANY/ALBANY II,ALBANY II BLD 07,AMR,85,524,K008500,FEDERAL,NY005010310P,National Grid NYC,8764458,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,152643,N,131.18,T1A TRAN RES N-Ht,Yes,176,UTILITY GAS,NatGrid NYC
ALBANY II,BROOKLYN,ALBANY/ALBANY II,ALBANY II BLD 08,AMR,85,524,K008500,FEDERAL,NY005010310P,National Grid NYC,8764458,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,386392,N,369.62,T1A TRAN RES N-Ht,Yes,495.91,UTILITY GAS,NatGrid NYC
ALBANY II,BROOKLYN,ALBANY/ALBANY II,ALBANY II BLD 08,AMR,85,524,K008500,FEDERAL,NY005010310P,National Grid NYC,8764458,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,482211,N,59.42,T1A TRAN RES N-Ht,Yes,79.72,UTILITY GAS,NatGrid NYC
ALBANY II,BROOKLYN,ALBANY/ALBANY II,ALBANY II BLD 09,AMR,85,524,K008500,FEDERAL,NY005010310P,National Grid NYC,8764458,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,904846,N,292.46,T1A TRAN RES N-Ht,Yes,392.38,UTILITY GAS,NatGrid NYC
ALBANY II,BROOKLYN,ALBANY/ALBANY II,ALBANY II BLD 09,AMR,85,524,K008500,FEDERAL,NY005010310P,National Grid NYC,8764458,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,924103,N,69.45,T1A TRAN RES N-Ht,Yes,93.18,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY II BLD 07,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8860732,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,152644,N,323.07,T1A TRAN RES N-Ht,Yes,435.12,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 03,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8860732,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,379350,N,1.54,T1A TRAN RES N-Ht,Yes,2.07,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 04,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8860732,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,463027,N,216.4,T1A TRAN RES N-Ht,Yes,291.46,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 04,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8860732,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,897493,N,0,T1A TRAN RES N-Ht,Yes,0,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 05,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8860732,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,898438,N,167.29,T1A TRAN RES N-Ht,Yes,225.31,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 05,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8860732,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,4632187,N,403.64,T1A TRAN RES N-Ht,Yes,543.64,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 02,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8860732,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,5017528,N,194.92,T1A TRAN RES N-Ht,Yes,262.52,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 02,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8860732,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,5062736,N,227.15,T1A TRAN RES N-Ht,Yes,305.93,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 06,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8860732,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,5122117,N,139.67,T1A TRAN RES N-Ht,Yes,188.11,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 06,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8860732,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,5122121,N,389.83,T1A TRAN RES N-Ht,Yes,525.04,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 03,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8860732,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,5739544,N,655.35,T1A TRAN RES N-Ht,Yes,882.65,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 01,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8860732,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,6130391,N,0,T1A TRAN RES N-Ht,Yes,0,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 01,AMR,31,524,K003100,FEDERAL,NY005010310P,National Grid NYC,8860732,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,6591591,N,494.97,T1A TRAN RES N-Ht,Yes,666.64,UTILITY GAS,NatGrid NYC
ALBANY II,BROOKLYN,ALBANY/ALBANY II,ALBANY II BLD 07,AMR,85,524,K008500,FEDERAL,NY005010310P,National Grid NYC,8860732,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,152643,N,141.97,T1A TRAN RES N-Ht,Yes,191.21,UTILITY GAS,NatGrid NYC
ALBANY II,BROOKLYN,ALBANY/ALBANY II,ALBANY II BLD 08,AMR,85,524,K008500,FEDERAL,NY005010310P,National Grid NYC,8860732,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,386392,N,460.44,T1A TRAN RES N-Ht,Yes,620.13,UTILITY GAS,NatGrid NYC
ALBANY II,BROOKLYN,ALBANY/ALBANY II,ALBANY II BLD 08,AMR,85,524,K008500,FEDERAL,NY005010310P,National Grid NYC,8860732,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,482211,N,129.69,T1A TRAN RES N-Ht,Yes,174.67,UTILITY GAS,NatGrid NYC
ALBANY II,BROOKLYN,ALBANY/ALBANY II,ALBANY II BLD 09,AMR,85,524,K008500,FEDERAL,NY005010310P,National Grid NYC,8860732,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,904846,N,345.32,T1A TRAN RES N-Ht,Yes,465.09,UTILITY GAS,NatGrid NYC
ALBANY II,BROOKLYN,ALBANY/ALBANY II,ALBANY II BLD 09,AMR,85,524,K008500,FEDERAL,NY005010310P,National Grid NYC,8860732,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,924103,N,78.27,T1A TRAN RES N-Ht,Yes,105.42,UTILITY GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,,Not Applicable,31,524,K003100,FEDERAL,NY005010310P,EAST COAST POWER & GAS,8589474,2020-01-01T00:00:00.000,1/17/2020,2/15/2020,29,298921000,N,1449.21,,Yes,4455,BROKERED GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,,Not Applicable,31,524,K003100,FEDERAL,NY005010310P,EAST COAST POWER & GAS,8704658,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,298921000,N,1449.21,,Yes,4455,BROKERED GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,,Not Applicable,31,524,K003100,FEDERAL,NY005010310P,EAST COAST POWER & GAS,8825318,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,298921000,N,1914.39,,Yes,5885,BROKERED GAS,NatGrid NYC
ALBANY,BROOKLYN,ALBANY/ALBANY II,,Not Applicable,31,524,K003100,FEDERAL,NY005010310P,EAST COAST POWER & GAS,8926608,2020-05-01T00:00:00.000,4/27/2020,5/26/2020,29,298921000,N,1660.98,,Yes,5106,BROKERED GAS,NatGrid NYC
45 ALLEN STREET,MANHATTAN,ALLEN STREET,BLD 01,NONE,265,380,M026500,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,8644086,2020-02-01T00:00:00.000,1/24/2020,2/25/2020,32,3491306,N,200.9,TR I NR,Yes,293.7,UTILITY GAS,ConEd
45 ALLEN STREET,MANHATTAN,ALLEN STREET,BLD 01,NONE,265,380,M026500,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,8644086,2020-02-01T00:00:00.000,1/24/2020,2/25/2020,32,3510721,N,99.38,TR I NR,Yes,145.3,UTILITY GAS,ConEd
